idRischio,sesso,etaMin,etaMax,diabete,fumo,pressioneMin,pressioneMax,colesteroloMin,colesteroloMax,percentuale
r1,donna,60,69,1,0,170,200,130,173,15
r2,donna,60,69,1,0,170,200,174,212,15
r3,donna,60,69,1,0,170,200,213,251,20
r4,donna,60,69,1,0,170,200,252,290,20
r5,donna,60,69,1,0,170,200,291,320,30
r6,donna,60,69,1,0,150,169,130,173,10
r7,donna,60,69,1,0,150,169,174,212,10
r8,donna,60,69,1,0,150,169,213,251,15
r9,donna,60,69,1,0,150,169,252,290,15
r10,donna,60,69,1,0,150,169,291,320,15
r11,donna,60,69,1,0,130,149,130,173,10
r12,donna,60,69,1,0,130,149,174,212,10
r13,donna,60,69,1,0,130,149,213,251,10
r14,donna,60,69,1,0,130,149,252,290,10
r15,donna,60,69,1,0,130,149,291,320,10
r16,donna,60,69,1,0,90,129,130,173,5
r17,donna,60,69,1,0,90,129,174,212,10
r18,donna,60,69,1,0,90,129,213,251,10
r19,donna,60,69,1,0,90,129,252,290,10
r20,donna,60,69,1,0,90,129,291,320,10
r21,donna,50,59,1,0,170,200,130,173,10
r22,donna,50,59,1,0,170,200,174,212,10
r23,donna,50,50,1,0,170,200,213,251,10
r24,donna,50,59,1,0,170,200,252,290,10
r25,donna,50,59,1,0,170,200,291,320,10
r26,donna,50,59,1,0,150,169,130,173,5
r27,donna,50,59,1,0,150,169,174,212,5
r28,donna,50,59,1,0,150,169,213,251,5
r29,donna,50,59,1,0,150,169,252,290,5
r30,donna,50,59,1,0,150,169,291,320,10
r31,donna,50,59,1,0,130,149,130,173,5
r32,donna,50,59,1,0,130,149,174,212,5
r33,donna,50,59,1,0,130,149,213,251,5
r34,donna,50,59,1,0,130,149,252,290,5
r35,donna,50,59,1,0,130,149,291,320,5
r36,donna,50,59,1,0,90,129,130,173,5
r37,donna,50,59,1,0,90,129,174,212,5
r38,donna,50,59,1,0,90,129,213,251,5
r39,donna,50,59,1,0,90,129,252,290,5
r40,donna,50,59,1,0,90,129,291,320,5
r41,donna,40,49,1,0,170,200,130,173,5
r42,donna,40,49,1,0,170,200,174,212,5
r43,donna,40,49,1,0,170,200,213,251,5
r44,donna,40,49,1,0,170,200,252,290,5
r45,donna,40,49,1,0,170,200,291,320,5
r46,donna,40,49,1,0,150,169,130,173,5
r47,donna,40,49,1,0,150,169,174,212,5
r48,donna,40,49,1,0,150,169,213,251,5
r49,donna,40,49,1,0,150,169,252,290,5
r50,donna,40,49,1,0,150,169,291,320,5
r51,donna,40,49,1,0,130,149,130,173,5
r52,donna,40,49,1,0,130,149,174,212,5
r53,donna,40,49,1,0,130,149,213,251,5
r54,donna,40,49,1,0,130,149,252,290,5
r55,donna,40,49,1,0,130,149,291,320,5
r56,donna,40,49,1,0,90,129,130,173,5
r57,donna,40,49,1,0,90,129,174,212,5
r58,donna,40,49,1,0,90,129,213,251,5
r59,donna,40,49,1,0,90,129,252,290,5
r60,donna,40,49,1,0,90,129,291,320,5
r61,donna,60,69,1,1,170,200,130,173,30
r62,donna,60,69,1,1,170,200,174,212,30
r63,donna,60,69,1,1,170,200,213,251,30
r64,donna,60,69,1,1,170,200,252,290,31
r65,donna,60,69,1,1,170,200,291,320,31
r66,donna,60,69,1,1,150,169,130,173,20
r67,donna,60,69,1,1,150,169,174,212,20
r68,donna,60,69,1,1,150,169,213,251,20
r69,donna,60,69,1,1,150,169,252,290,30
r70,donna,60,69,1,1,150,169,291,320,30
r71,donna,60,69,1,1,130,149,130,173,15
r72,donna,60,69,1,1,130,149,174,212,15
r73,donna,60,69,1,1,130,149,213,251,15
r74,donna,60,69,1,1,130,149,252,290,15
r75,donna,60,69,1,1,130,149,291,320,20
r76,donna,60,69,1,1,90,129,130,173,10
r77,donna,60,69,1,1,90,129,174,212,15
r78,donna,60,69,1,1,90,129,213,251,15
r79,donna,60,69,1,1,90,129,252,290,15
r80,donna,60,69,1,1,90,129,291,320,15
r81,donna,50,59,1,1,170,200,130,173,15
r82,donna,50,59,1,1,170,200,174,212,15
